z400	75%	z400	25%	z400	7%	z400	2%	z403	75%	z403	25%	z403	7%	z403	2%	z404	75%	z404	25%	z404	7%	z404	2%	z406	75%	z406	25%	z406	7%	z406	2%
0	3185.778	0	788	0	454.778	0	231	0	1545.667	0	1774	0	832	0	372	0	2855.612	0	2758	0	2373	0	1437	14.5833	3023	14.3472	2805.111	14.5694	1428.889	14.4028	2196.333
0.0139	3270.864	0.0139	838.653	0.0139	473.614	0.0139	241.1372	0.0139	1641.509	0.0139	1698.429	0.0139	930.152	0.0139	357.7	0.0139	2859.738	0.0139	2737.346	0.0139	2294.211	0.0139	1534.355	14.5694	2976.826	14.3333	2882.338	14.5556	1402.079	14.3889	2184.996
0.0278	3281.595	0.0278	881.488	0.0278	457.124	0.0278	224.7558	0.0278	1666.937	0.0278	1736.286	0.0278	881.338	0.0278	341.563	0.0278	2875.762	0.0278	2798.035	0.0278	2377.671	0.0278	1479.172	14.5556	3011.863	14.3194	2845.961	14.5417	1442.928	14.375	2141.688
0.0417	3241.833	0.0417	875.323	0.0417	463.675	0.0417	224.5753	0.0417	1666.464	0.0417	1734.017	0.0417	860.87	0.0417	339.175	0.0417	2883.302	0.0417	2688.343	0.0417	2299.748	0.0417	1359.236	14.5417	3006.989	14.3056	2808.635	14.5278	1417.238	14.3611	2182.057
0.0556	3226.618	0.0556	858.294	0.0556	456.998	0.0556	215.7874	0.0556	1664.385	0.0556	1641.738	0.0556	874.511	0.0556	397.815	0.0556	2887.498	0.0556	2655.777	0.0556	2359.781	0.0556	1444.301	14.5278	3012.37	14.2917	2827.567	14.5139	1361.731	14.3472	2180.878
0.0694	3234.106	0.0694	861.978	0.0694	407.469	0.0694	222.3111	0.0694	1704.025	0.0694	1648.541	0.0694	863.584	0.0694	369.922	0.0694	2881.837	0.0694	2697.4	0.0694	2363.008	0.0694	1425.641	14.5139	3052.474	14.2778	2871.759	14.5	1415.632	14.3333	2167.606
0.0833	3265.876	0.0833	824.235	0.0833	419.283	0.0833	209.2585	0.0833	1696.2	0.0833	1701.831	0.0833	934.769	0.0833	407.195	0.0833	2929.723	0.0833	2692.312	0.0833	2420.574	0.0833	1536.687	14.5	3040.302	14.2639	2902.334	14.4861	1391.214	14.3194	2204.087
0.0972	3281.23	0.0972	857.068	0.0972	434.399	0.0972	222.1157	0.0972	1707.648	0.0972	1694.409	0.0972	951.38	0.0972	410.366	0.0972	2949.199	0.0972	2702.26	0.0972	2358.857	0.0972	1472.275	14.4861	2975.857	14.25	2844.33	14.4722	1390.88	14.3056	2217.361
0.1111	3289.532	0.1111	863.519	0.1111	446.922	0.1111	226.7651	0.1111	1708.399	0.1111	1674.164	0.1111	992.174	0.1111	357.759	0.1111	2911.018	0.1111	2696.685	0.1111	2320.694	0.1111	1544.544	14.4722	2989.239	14.2361	2808.945	14.4583	1384.725	14.2917	2198.78
0.125	3240.878	0.125	839.109	0.125	453.984	0.125	227.6494	0.125	1709.379	0.125	1674.069	0.125	946.536	0.125	376.389	0.125	2863.688	0.125	2765.964	0.125	2316.458	0.125	1551.28	14.4583	3034.702	14.2222	2796.507	14.4444	1384.323	14.2778	2148.389
0.1389	3210.488	0.1389	852.286	0.1389	445.613	0.1389	225.6268	0.1389	1664.885	0.1389	1677.185	0.1389	884.435	0.1389	351.832	0.1389	2888.038	0.1389	2724.753	0.1389	2325.821	0.1389	1513.76	14.4444	3005.847	14.2083	2865.849	14.4306	1372.07	14.2639	2166.003
0.1528	3255.497	0.1528	851.573	0.1528	424.239	0.1528	222.8214	0.1528	1658.652	0.1528	1605.795	0.1528	874.843	0.1528	375.957	0.1528	2851.385	0.1528	2708.137	0.1528	2365.364	0.1528	1484.823	14.4306	2979.479	14.1944	2858.981	14.4167	1401.63	14.25	2100.651
0.1667	3365.408	0.1667	844.941	0.1667	443.117	0.1667	224.4447	0.1667	1655.392	0.1667	1690.407	0.1667	853.943	0.1667	397.719	0.1667	2881.658	0.1667	2686.418	0.1667	2391.747	0.1667	1531.975	14.4167	3002.162	14.1806	2847.044	14.4028	1380.2	14.2361	2208.204
0.1806	3203.511	0.1806	871.169	0.1806	425.64	0.1806	217.1897	0.1806	1613.552	0.1806	1691.052	0.1806	822.658	0.1806	369.205	0.1806	2820.082	0.1806	2654.894	0.1806	2304.671	0.1806	1494.37	14.4028	3006.36	14.1667	2830.845	14.3889	1384.269	14.2222	2142.011
0.1944	3301.021	0.1944	855.248	0.1944	421.922	0.1944	219.1994	0.1944	1663.778	0.1944	1678.582	0.1944	836.884	0.1944	363.846	0.1944	2866.432	0.1944	2682.404	0.1944	2314.594	0.1944	1508.313	14.3889	2988.265	14.1528	2870.27	14.375	1376.282	14.2083	2240.777
0.2083	3300.057	0.2083	861.021	0.2083	454.902	0.2083	226.8664	0.2083	1678.855	0.2083	1655.646	0.2083	920.305	0.2083	323.603	0.2083	2913.498	0.2083	2675.01	0.2083	2402.145	0.2083	1530.749	14.375	2992.758	14.1389	2827.376	14.3611	1383.891	14.1944	2161.356
0.2222	3217.801	0.2222	862.937	0.2222	473.38	0.2222	226.9933	0.2222	1699.794	0.2222	1665.882	0.2222	923.233	0.2222	363.511	0.2222	2889.519	0.2222	2784.427	0.2222	2401.868	0.2222	1495.184	14.3611	3057.257	14.125	2782.496	14.3472	1366.744	14.1806	2147.66
0.2361	3207.767	0.2361	837.726	0.2361	459.449	0.2361	231.4358	0.2361	1685.383	0.2361	1773.616	0.2361	921.159	0.2361	377.14	0.2361	2890.657	0.2361	2724.311	0.2361	2361.062	0.2361	1473.991	14.3472	2966.515	14.1111	2859.143	14.3333	1442.991	14.1667	2199.101
0.25	3246.686	0.25	851.236	0.25	419.644	0.25	229.9964	0.25	1654.347	0.25	1749.463	0.25	932.804	0.25	359.523	0.25	2898.54	0.25	2689.115	0.25	2330.072	0.25	1466.041	14.3333	2951.767	14.0972	2869.399	14.3194	1377.669	14.1528	2227.628
0.2639	3252.541	0.2639	835.957	0.2639	420.775	0.2639	223.3016	0.2639	1670.663	0.2639	1644.372	0.2639	890.94	0.2639	374.988	0.2639	2773.175	0.2639	2685.414	0.2639	2396.257	0.2639	1419.569	14.3194	2983.25	14.0833	2842.548	14.3056	1374.099	14.1389	2181.009
0.2778	3252.157	0.2778	829.587	0.2778	429.148	0.2778	239.1469	0.2778	1682.42	0.2778	1650.916	0.2778	928.367	0.2778	362.598	0.2778	2970.179	0.2778	2693.069	0.2778	2383.489	0.2778	1425.134	14.3056	2998.76	14.0694	2878.414	14.2917	1430.334	14.125	2169.986
0.2917	3263.126	0.2917	834.37	0.2917	453.774	0.2917	233.0859	0.2917	1671.861	0.2917	1738.347	0.2917	937.411	0.2917	361.8	0.2917	2924.206	0.2917	2727.636	0.2917	2369.051	0.2917	1498.155	14.2917	3065.022	14.0556	2772.757	14.2778	1371.16	14.1111	2204.278
0.3056	3232.354	0.3056	802.932	0.3056	444.658	0.3056	230.9105	0.3056	1670.573	0.3056	1700.633	0.3056	915.334	0.3056	343.916	0.3056	2898.097	0.3056	2773.856	0.3056	2362.858	0.3056	1491.817	14.2778	3050.955	14.0417	2829.054	14.2639	1326.882	14.0972	2169.096
0.3194	3249.213	0.3194	840.645	0.3194	426.701	0.3194	230.7298	0.3194	1650.314	0.3194	1714.138	0.3194	887.504	0.3194	335.25	0.3194	2846.148	0.3194	2791.99	0.3194	2334.152	0.3194	1448.911	14.2639	3010.271	14.0278	2831.759	14.25	1386.438	14.0833	2093.89
0.3333	3285.841	0.3333	824.76	0.3333	439.919	0.3333	222.0342	0.3333	1660.628	0.3333	1673.6	0.3333	894.541	0.3333	356.823	0.3333	2917.744	0.3333	2698.915	0.3333	2401.831	0.3333	1373.423	14.25	3012.993	14.0139	2849.169	14.2361	1411.391	14.0694	2137.274
0.3472	3255.448	0.3472	831.942	0.3472	435.1	0.3472	221.7672	0.3472	1700.741	0.3472	1706.359	0.3472	929.304	0.3472	373.2	0.3472	2911.126	0.3472	2651.006	0.3472	2383.336	0.3472	1500.622	14.2361	3010.406	14	2823.465	14.2222	1345.636	14.0556	2236.113
0.3611	3261.912	0.3611	854.539	0.3611	412.689	0.3611	228.9839	0.3611	1664.274	0.3611	1678.079	0.3611	883.951	0.3611	356.471	0.3611	2865.457	0.3611	2659.179	0.3611	2283.212	0.3611	1484.054	14.2222	2961.115	13.9861	2862.272	14.2083	1364.673	14.0417	2141.128
0.375	3316.847	0.375	869.786	0.375	418.956	0.375	232.4626	0.375	1706.311	0.375	1623.768	0.375	924.209	0.375	330.281	0.375	2862.778	0.375	2615.069	0.375	2267.993	0.375	1416.567	14.2083	3013.598	13.9722	2876.606	14.1944	1368.86	14.0278	2126.864
0.3889	3251.984	0.3889	859.921	0.3889	421.739	0.3889	248.8618	0.3889	1740.222	0.3889	1644.682	0.3889	916.891	0.3889	368.764	0.3889	2911.512	0.3889	2624.332	0.3889	2298.513	0.3889	1461.282	14.1944	3018.975	13.9583	2838.418	14.1806	1374.065	14.0139	2201.109
0.4028	3262.415	0.4028	857.143	0.4028	414.071	0.4028	235.4334	0.4028	1701.133	0.4028	1744.411	0.4028	918.787	0.4028	377.506	0.4028	2898.611	0.4028	2603.664	0.4028	2315.929	0.4028	1527.163	14.1806	3010.37	13.9444	2809.721	14.1667	1367.933	14	2200.013
0.4167	3275.678	0.4167	853.603	0.4167	436.353	0.4167	228.8625	0.4167	1607.34	0.4167	1797.239	0.4167	903.154	0.4167	372.683	0.4167	2832.284	0.4167	2652.103	0.4167	2363.828	0.4167	1506.506	14.1667	3058.63	13.9306	2833.413	14.1528	1384.18	13.9861	2154.53
0.4306	3326.904	0.4306	850.919	0.4306	435.827	0.4306	220.8166	0.4306	1655.034	0.4306	1733.951	0.4306	932.155	0.4306	365.293	0.4306	2888.322	0.4306	2782.905	0.4306	2431.801	0.4306	1441.712	14.1528	3061.496	13.9167	2852.032	14.1389	1410.586	13.9722	2107.702
0.4444	3251.216	0.4444	857.917	0.4444	453.253	0.4444	225.8984	0.4444	1675.172	0.4444	1769.121	0.4444	927.885	0.4444	368.131	0.4444	2854.444	0.4444	2744.582	0.4444	2435.193	0.4444	1452.79	14.1389	3002.834	13.9028	2793.183	14.125	1376.333	13.9583	2202.927
0.4583	3290.583	0.4583	874.148	0.4583	455.857	0.4583	223.1038	0.4583	1710.844	0.4583	1755.825	0.4583	951.396	0.4583	360.612	0.4583	2878.14	0.4583	2679.844	0.4583	2408.707	0.4583	1479.649	14.125	3020.875	13.8889	2781.954	14.1111	1377.74	13.9444	2208.098
0.4722	3244.23	0.4722	858.536	0.4722	412.588	0.4722	227.2354	0.4722	1648.036	0.4722	1694.422	0.4722	902.103	0.4722	402.931	0.4722	2877.53	0.4722	2590.772	0.4722	2368.4	0.4722	1551.359	14.1111	3051.347	13.875	2872.492	14.0972	1386.23	13.9306	2131.02
0.4861	3234.947	0.4861	830.614	0.4861	446.75	0.4861	230.3029	0.4861	1675.583	0.4861	1703.565	0.4861	917.646	0.4861	349.896	0.4861	2900.053	0.4861	2664.8	0.4861	2392.299	0.4861	1522.056	14.0972	3006.087	13.8611	2873.583	14.0833	1408.968	13.9167	2141.129
0.5	3239.04	0.5	841.715	0.5	470.305	0.5	219.975	0.5	1659.993	0.5	1675.258	0.5	898.013	0.5	388.279	0.5	2901.754	0.5	2657.413	0.5	2459.698	0.5	1566.164	14.0833	3006.055	13.8472	2879.396	14.0694	1422.821	13.9028	2150.299
0.5139	3266.052	0.5139	856.166	0.5139	459.456	0.5139	214.6245	0.5139	1645.37	0.5139	1701.88	0.5139	909.859	0.5139	395.05	0.5139	2881.285	0.5139	2667.209	0.5139	2350.622	0.5139	1466.263	14.0694	2978.846	13.8333	2878.298	14.0556	1421.183	13.8889	2184.567
0.5278	3309.936	0.5278	841.866	0.5278	428.385	0.5278	216.8435	0.5278	1683.898	0.5278	1702.247	0.5278	879.485	0.5278	397.741	0.5278	2907.299	0.5278	2699.112	0.5278	2375.23	0.5278	1431.08	14.0556	2929.773	13.8194	2834.636	14.0417	1393.289	13.875	2082.322
0.5417	3292.292	0.5417	837.784	0.5417	466.329	0.5417	229.3892	0.5417	1700.446	0.5417	1743.137	0.5417	893.06	0.5417	355.788	0.5417	2859.164	0.5417	2726.952	0.5417	2451.434	0.5417	1390.778	14.0417	3017.255	13.8056	2816.906	14.0278	1384.777	13.8611	2245.591
0.5556	3262.729	0.5556	870.217	0.5556	450.523	0.5556	228.3787	0.5556	1704.006	0.5556	1725.278	0.5556	923.164	0.5556	385.33	0.5556	2878.852	0.5556	2798.406	0.5556	2298.84	0.5556	1534.602	14.0278	3019.923	13.7917	2829.544	14.0139	1367.871	13.8472	2188.144
0.5694	3240.514	0.5694	859.387	0.5694	428.276	0.5694	219.0922	0.5694	1671.784	0.5694	1680.534	0.5694	935.214	0.5694	379.611	0.5694	2908.605	0.5694	2756.547	0.5694	2345.602	0.5694	1485.641	14.0139	2959.013	13.7778	2868.605	14	1381.837	13.8333	2143.582
